"There are 20.285602271512243 % of homorepeats out of a total of 84173 chains"
"The % of homorepeats of each kind are:"

ALA 26.82284040995608%
ARG 4.995607613469985%
ASN 1.2708638360175697%
ASP 3.830161054172767%
CYS 0.09370424597364568%
GLU 6.9458272327964865%
GLN 3.314787701317716%
GLY 8.644216691068813%
HIS 0.8491947291361639%
ILE 1.0717423133235724%
LEU 11.320644216691068%
LYS 4.24597364568082%
MET 0.13469985358711567%
PHE 0.5915080527086384%
PRO 5.745241581259151%
SER 8.568081991215228%
THR 5.569546120058566%
TRP 0.0%
TYR 0.21669106881405564%
VAL 5.768667642752563%
XAA 0.0%
