"There are 17.42941696236974 % of homorepeats out of a total of 71299 chains"
"The % of homorepeats of each kind are:"

ALA 27.0298543494005%
ARG 4.804055685201577%
ASN 2.4462863120624445%
ASP 3.4521606180091737%
CYS 0.07242295002816448%
GLU 6.027198841232799%
GLN 6.300796652450309%
GLY 8.320592258791342%
HIS 1.0782972559748933%
ILE 1.1024382393176149%
LEU 11.32212118773638%
LYS 3.2348917679246805%
MET 0.14484590005632897%
PHE 0.4345377001689869%
PRO 3.8384163514927176%
SER 7.411281886215498%
THR 6.429548563611491%
TRP 0.0%
TYR 0.1046109278184598%
VAL 6.445642552506639%
XAA 0.0%
