"There are 16.04557069846678 % of homorepeats out of a total of 18784 chains"
"The % of homorepeats of each kind are:"

ALA 20.93563370935634%
ARG 5.806237558062375%
ASN 3.019243530192435%
ASP 4.810882548108825%
CYS 0.06635700066357%
GLU 7.199734571997346%
GLN 4.644990046449901%
GLY 8.161911081619111%
HIS 0.4976775049767751%
ILE 1.7916390179163904%
LEU 9.82083609820836%
LYS 6.370272063702721%
MET 0.09953550099535502%
PHE 0.5640345056403451%
PRO 4.24684804246848%
SER 8.858659588586596%
THR 6.702057067020571%
TRP 0.033178500331785%
TYR 0.16589250165892502%
VAL 6.204379562043796%
XAA 0.0%
