"There are 39.38807126258715 % of homorepeats out of a total of 2582 chains"
"The % of homorepeats of each kind are:"

ALA 17.99410029498525%
ARG 3.048180924287119%
ASN 1.5732546705998034%
ASP 2.2615535889872174%
CYS 0.39331366764995085%
GLU 7.866273352999016%
GLN 4.71976401179941%
GLY 8.751229105211406%
HIS 0.8849557522123894%
ILE 1.1799410029498525%
LEU 12.979351032448378%
LYS 9.144542772861357%
MET 0.0%
PHE 0.4916420845624385%
PRO 9.636184857423794%
SER 12.782694198623402%
THR 3.44149459193707%
TRP 0.0%
TYR 0.19665683382497542%
VAL 2.6548672566371683%
XAA 0.0%
