"There are 60.0 % of homorepeats out of a total of 1390 chains"
"The % of homorepeats of each kind are:"

ALA 10.551558752997602%
ARG 2.6378896882494005%
ASN 1.079136690647482%
ASP 3.8369304556354913%
CYS 0.0%
GLU 11.390887290167866%
GLN 5.515587529976019%
GLY 7.314148681055157%
HIS 2.158273381294964%
ILE 0.5995203836930456%
LEU 15.107913669064748%
LYS 5.995203836930456%
MET 0.0%
PHE 0.2398081534772182%
PRO 11.270983213429256%
SER 17.26618705035971%
THR 3.237410071942446%
TRP 0.0%
TYR 0.3597122302158274%
VAL 1.4388489208633095%
XAA 0.0%
