"There are 76.8775872264932 % of homorepeats out of a total of 1691 chains"
"The % of homorepeats of each kind are:"

ALA 9.538461538461538%
ARG 4.153846153846154%
ASN 1.3846153846153846%
ASP 5.230769230769231%
CYS 0.15384615384615385%
GLU 15.153846153846153%
GLN 5.230769230769231%
GLY 7.461538461538461%
HIS 0.7692307692307693%
ILE 0.7692307692307693%
LEU 9.692307692307692%
LYS 5.923076923076923%
MET 0.15384615384615385%
PHE 0.07692307692307693%
PRO 7.538461538461538%
SER 21.0%
THR 3.230769230769231%
TRP 0.0%
TYR 0.07692307692307693%
VAL 2.4615384615384617%
XAA 0.0%
