"There are 60.26871401151631 % of homorepeats out of a total of 1042 chains"
"The % of homorepeats of each kind are:"

ALA 13.853503184713375%
ARG 4.45859872611465%
ASN 1.5923566878980893%
ASP 6.050955414012739%
CYS 0.15923566878980894%
GLU 9.235668789808917%
GLN 7.006369426751593%
GLY 8.598726114649681%
HIS 2.0700636942675157%
ILE 0.3184713375796179%
LEU 6.528662420382165%
LYS 3.343949044585987%
MET 0.15923566878980894%
PHE 0.7961783439490446%
PRO 11.94267515923567%
SER 16.560509554140125%
THR 5.89171974522293%
TRP 0.0%
TYR 0.15923566878980894%
VAL 1.2738853503184715%
XAA 0.0%
