"There are 46.0 % of homorepeats out of a total of 300 chains"
"The % of homorepeats of each kind are:"

ALA 7.246376811594203%
ARG 7.971014492753622%
ASN 4.3478260869565215%
ASP 6.521739130434782%
CYS 0.7246376811594203%
GLU 5.072463768115942%
GLN 5.797101449275362%
GLY 17.391304347826086%
HIS 0.7246376811594203%
ILE 0.7246376811594203%
LEU 17.391304347826086%
LYS 2.898550724637681%
MET 0.7246376811594203%
PHE 0.0%
PRO 4.3478260869565215%
SER 15.942028985507244%
THR 0.7246376811594203%
TRP 0.0%
TYR 0.0%
VAL 1.4492753623188406%
XAA 0.0%
