"There are 63.05732484076433 % of homorepeats out of a total of 314 chains"
"The % of homorepeats of each kind are:"

ALA 15.151515151515152%
ARG 5.05050505050505%
ASN 0.0%
ASP 7.07070707070707%
CYS 0.0%
GLU 6.0606060606060606%
GLN 6.0606060606060606%
GLY 7.07070707070707%
HIS 1.0101010101010102%
ILE 0.0%
LEU 14.14141414141414%
LYS 2.0202020202020203%
MET 0.0%
PHE 0.0%
PRO 12.121212121212121%
SER 19.19191919191919%
THR 2.0202020202020203%
TRP 0.0%
TYR 0.0%
VAL 3.0303030303030303%
XAA 0.0%
