"There are 50.303030303030305 % of homorepeats out of a total of 330 chains"
"The % of homorepeats of each kind are:"

ALA 19.27710843373494%
ARG 1.8072289156626504%
ASN 5.421686746987952%
ASP 0.0%
CYS 1.2048192771084338%
GLU 6.024096385542169%
GLN 10.240963855421686%
GLY 7.228915662650602%
HIS 4.216867469879518%
ILE 0.6024096385542169%
LEU 4.216867469879518%
LYS 1.2048192771084338%
MET 0.0%
PHE 0.6024096385542169%
PRO 3.614457831325301%
SER 26.506024096385545%
THR 5.421686746987952%
TRP 0.0%
TYR 1.8072289156626504%
VAL 0.6024096385542169%
XAA 0.0%
