"There are 40.77669902912621 % of homorepeats out of a total of 206 chains"
"The % of homorepeats of each kind are:"

ALA 20.238095238095237%
ARG 1.1904761904761905%
ASN 0.0%
ASP 5.952380952380952%
CYS 0.0%
GLU 11.904761904761903%
GLN 10.714285714285714%
GLY 7.142857142857142%
HIS 1.1904761904761905%
ILE 0.0%
LEU 7.142857142857142%
LYS 2.380952380952381%
MET 0.0%
PHE 1.1904761904761905%
PRO 8.333333333333332%
SER 14.285714285714285%
THR 4.761904761904762%
TRP 0.0%
TYR 0.0%
VAL 3.571428571428571%
XAA 0.0%
