"There are 41.20917651773192 % of homorepeats out of a total of 19964 chains"
"The % of homorepeats of each kind are:"

ALA 13.151817187310078%
ARG 3.549288926704753%
ASN 2.4553300109395892%
ASP 2.9536890725659415%
CYS 0.20663668408897531%
GLU 9.748389449374011%
GLN 4.825574328430777%
GLY 8.3262428588793%
HIS 1.4586118876868848%
ILE 0.8143916372918438%
LEU 13.297678376078764%
LYS 5.323933390057129%
MET 0.12155099064057372%
PHE 0.5955998541388112%
PRO 10.283213808192537%
SER 15.923179773915159%
THR 3.7802358089218426%
TRP 0.0%
TYR 0.3281876747295491%
VAL 2.8564482800534825%
XAA 0.0%
