"There are 32.74451912808593 % of homorepeats out of a total of 79595 chains"
"The % of homorepeats of each kind are:"

ALA 17.549783217588153%
ARG 5.168246172735295%
ASN 3.19993861029045%
ASP 3.4148025937152284%
CYS 0.13812684648735757%
GLU 8.295284502935194%
GLN 6.649272915627518%
GLY 8.989755592218854%
HIS 1.2047730499175076%
ILE 1.0014196370333424%
LEU 13.363772397651843%
LYS 4.370179948586118%
MET 0.10743199171238921%
PHE 0.6445919502743352%
PRO 6.438245789049611%
SER 12.531174461880829%
THR 3.687219429843073%
TRP 0.0038368568468710434%
TYR 0.23404826765913364%
VAL 3.008095767946898%
XAA 0.0%
