"There are 38.73610410998965 % of homorepeats out of a total of 259879 chains"
"The % of homorepeats of each kind are:"

ALA 15.053592537773053%
ARG 3.7559478279873244%
ASN 6.861235558822652%
ASP 3.522504892367906%
CYS 0.15595974847765406%
GLU 9.382419263512372%
GLN 6.4301111585723225%
GLY 8.40692580488144%
HIS 1.1235062135555842%
ILE 0.9079440134304191%
LEU 10.143343896212265%
LYS 4.464223628398582%
MET 0.1529796258952785%
PHE 0.49569372286846736%
PRO 8.080105695014254%
SER 13.352935917430736%
THR 4.599322518799607%
TRP 0.00397349677650074%
TYR 0.1778139807484081%
VAL 2.9294604984751706%
XAA 0.0%
