"There are 38.19444444444444 % of homorepeats out of a total of 144 chains"
"The % of homorepeats of each kind are:"

ALA 14.545454545454545%
ARG 9.090909090909092%
ASN 1.8181818181818181%
ASP 1.8181818181818181%
CYS 0.0%
GLU 1.8181818181818181%
GLN 3.6363636363636362%
GLY 10.909090909090908%
HIS 0.0%
ILE 0.0%
LEU 14.545454545454545%
LYS 0.0%
MET 0.0%
PHE 0.0%
PRO 3.6363636363636362%
SER 32.72727272727273%
THR 3.6363636363636362%
TRP 0.0%
TYR 0.0%
VAL 1.8181818181818181%
XAA 0.0%
