"There are 32.3943661971831 % of homorepeats out of a total of 213 chains"
"The % of homorepeats of each kind are:"

ALA 17.391304347826086%
ARG 5.797101449275362%
ASN 4.3478260869565215%
ASP 2.898550724637681%
CYS 0.0%
GLU 7.246376811594203%
GLN 4.3478260869565215%
GLY 4.3478260869565215%
HIS 0.0%
ILE 0.0%
LEU 13.043478260869565%
LYS 1.4492753623188406%
MET 0.0%
PHE 0.0%
PRO 11.594202898550725%
SER 20.28985507246377%
THR 2.898550724637681%
TRP 0.0%
TYR 0.0%
VAL 4.3478260869565215%
XAA 0.0%
